artista,cancion,album,año,spotify_id,popularidad
PUBLIC,Make You Mine,Make You Mine,2019,5iFwAOB2TFkPJk8sMlxP8g,70
ChocQuibTown,Pa Olvidarte (feat. Manuel Turizo) - Remix,Pa Olvidarte (feat. Manuel Turizo) [Remix],2019,2ktoFujjJtantyMoVdBJlX,55
Twenty One Pilots,Nico and the Niners,Trench,2018,5SehvGGC53A7SZKCLXQcyt,65
Vance Joy,Saturday Sun,Nation of Two,2018,2RiBogNRfulkNf7fVbPOrJ,66
Anıl Emre Daldal,M.,M.,2020,6wfb4nI2Vih263JqC8WSoW,70
Rammstein,Armee der Tristen,Zeit,2022,514GW1c9Jn21KgZmO6mZIE,63
YUNGBLUD,parents,weird!,2020,5v4OkFH0TJ6W1hCFxyn0px,65
Måneskin,Le parole lontane,Il ballo della vita,2018,1ABG6ke9SdUK9YayVafbcX,57
Ghost,Mary On A Cross,[MESSAGE FROM THE CLERGY],2022,7wdwIaXUuzlu1grzWMFRJm,63
Brett Eldredge,"Baby, It's Cold Outside",100 Greatest Christmas Songs Ever,2022,19Cf3CqOcfhxfuP9yGUYoK,61
Rammstein,Angst,Zeit,2022,0UuNO0yYvsMPlyLF7RfQlg,63
Bring Me The Horizon,Parasite Eve,POST HUMAN: SURVIVAL HORROR,2020,36xBFaVGjqm7le8CTHytUj,65
Bring Me The Horizon,Teardrops,POST HUMAN: SURVIVAL HORROR,2020,3WATWS2Ywo5HeHtG0bE2iZ,65
Arrested Youth,The Kid I Used to Know,Sobville (Episode I),2019,4AXAS26dUVTnCnubySfkbv,64
The Strokes,Why Are Sundays So Depressing,The New Abnormal,2020,1aOxOpH4AkGAd8OMrKjyNY,62
Fleet Foxes,Mykonos,First Collection: 2006-2009,2018,7H71gZwWs3xPWnHM30NDUp,57
Twenty One Pilots,Jumpsuit,Trench,2018,1E1uGhNdBe6Dddbgs2KqtZ,64
Hozier,Movement,"Wasteland, Baby!",2019,0SFq19lgG4qbQAZaNZ3xhO,62
Tame Impala,Lost In Yesterday,The Slow Rush,2020,5JWPUEov2wlX7c0jhYZpeB,65
Papa Roach,Kill The Noise,Ego Trip,2022,2DyDyOW1hRYFFaMhBCAHJ9,64
Rawayana,Caney,Caney,2021,1iy127mskdnMF5mC5kicFF,55
Wizzard,I Wish It Could Be Christmas Everyday - 2006 Remaster,100 Greatest Christmas Songs Ever,2022,6C8JkSqdFkE5LN2aXOa9cs,63
Lauren Daigle,Rescue,Look Up Child,2018,7r9kOxiNDnkAg5QKqtyjVk,70
Rammstein,Zeig dich,Rammstein,2019,3d3k8g4GTVx9EFIFlOZOEX,62
The Neighbourhood,Fallen Star,Fallen Star,2021,60F6pgM6H6miNr5AmjxwjL,66
Rawayana,CAMINAAANDO,CAMINAAANDO,2022,09KDB5l9Teu4Jmi0rcX6hT,53
Fontaines D.C.,Jackie Down The Line,Skinty Fia,2022,3ITvhrRB5TlEks19k9qy2k,64
Serú Girán,Seminare - 2021 Remasterizado,Serú Girán (2021 Remasterizado),2021,61zbxB39zUY5oxBvEvvMYv,62
Milky Chance,Synchronize,Trip Tape II,2022,3GXgrEjBjonrQrPEEi13yU,61
Bee Gees,More Than A Woman - SG's Paradise Edit,More Than A Woman (SG's Paradise Edit),2021,0L3XCv9i9IHs8cJEVhsJ3J,63
Jesús Adrián Romero,Se Quedó Conmigo,Origen Y Esencia,2019,54WhzdsNihZ1k0EPTgXrIj,60
La Delio Valdez,Inocente,Sonido Subtropical,2018,7uosdMQ8IXjcs6t72NTTDq,63
El Kuelgue,Parque Acuático,Parque Acuático,2018,250FEHmhQf4Y2XiqjDz0zu,61
The Drifters,White Christmas,100 Greatest Christmas Songs Ever,2022,5skPAf0IIIy7UXJch1QgZy,61
