artista,cancion,album,año,spotify_id,popularidad
Drake,Fair Trade (with Travis Scott),Certified Lover Boy,2021,40iJIUlhi6renaREYGeIDS,78
SZA,Snooze,SOS,2022,4iZ4pt7kvcaH6Yo8UoZ4s2,87
Post Malone,rockstar (feat. 21 Savage),beerbongs & bentleys,2018,0e7ipj03S05BNilyu5bRzt,80
PinkPantheress,Pain,to hell with it,2021,4S4QJfBGGrC8jRIjJHf1Ka,83
Alok,Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),2022,7MIhUdNJtaOnDmC5nBC1fb,75
Calum Scott,Dancing On My Own,Only Human (Deluxe),2018,2BOqDYLOJBiMOXShCV1neZ,77
Andy Grammer,Don't Give Up On Me,Naïve,2019,0fiijtFXDJ9MOVwgSaEQJ5,76
The Weeknd,Is There Someone Else?,Dawn FM,2022,0mL82sxCRjrs3br407IdJh,80
Doja Cat,Kiss Me More (feat. SZA),Planet Her,2021,3DarAbFujv6eYNliUTyqtz,80
5 Seconds of Summer,Youngblood,Youngblood (Deluxe),2018,2iUXsYOEPhVqEBwsqP70rE,78
Meghan Trainor,I'll Be Home,A Very Trainor Christmas,2020,0YupMLYOYz6lZDbN3kRt7A,78
Lost Frequencies,Where Are You Now,Where Are You Now,2021,3uUuGVFu1V7jTQL60S1r8z,75
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,5enxwA8aAbwZbf5qCHORXi,78
Kany García,DPM (De Pxta Madre),El Amor Que Merecemos,2022,4wJXlFV0oh88ktxE54uqKE,67
Sam Smith,Fire On Fire,Love Goes,2020,7t3Xdbufg7q2onVsR8RBdY,74
Felix Jaehn,Call It Love,Call It Love,2022,5YdnOm5990Kfq1Jodws98B,74
Taylor Swift,The Man,Lover,2019,3RauEVgRgj1IuWdJ9fDs70,78
Sabrina Carpenter,because i liked a boy,emails i can't send,2022,32FhTAAjKZaBein150o3Px,79
Piso 21,Te Amo,Te Amo,2018,2RVrdr062uLFxXwIxwdXPH,72
Swedish House Mafia,Heaven Takes You Home (feat. Connie Constance),Paradise Again,2022,3nEHrvNNtgLv9rneTAYVr4,73
George Ezra,Shotgun,Staying at Tamara's,2018,4ofwffwvvnbSkrMSCKQDaC,76
Kany García,Para Siempre,Soy Yo,2018,3w6HBymB6v99gmhz4aiX1g,69
Dean Lewis,Be Alright,A Place We Knew,2019,5qrSlOut2rNAWv3ubArkNy,76
Aventura,Inmortal,Utopia,2019,2swZ0X1njeU32SNJeBKIfW,65
Ava Max,Christmas Without You,Christmas Without You,2020,1QLZKzC2pjP4ySf4ALrNhm,80
Billie Eilish,Billie Bossa Nova,Happier Than Ever,2021,2KnuaZYoGzDoHiBTNYOTXG,76
Mike Bahía,Esta Noche,Navegando,2019,4vhkI8x68EaGQR3Kn7Pwhc,68
Labrinth,Mount Everest,Imagination & the Misfit Kid,2019,1ZdhOMWyFR8Iv9eylMGYg2,77
Sebastian Yatra,Ya No Tiene Novio,Ya No Tiene Novio,2018,7uQmJ1jgNzBpATSoWKSPFu,67
Selena Gomez,Lose You To Love Me,Rare,2020,4l0Mvzj72xxOpRrp6h8nHi,76
Lizzy McAlpine,ceilings,five seconds flat,2022,2L9N0zZnd37dwF0clgxMGI,79
5 Seconds of Summer,Teeth,CALM,2020,3NxWJWftvkstyxvb1pZlFo,77
Ariana Grande,positions,Positions,2020,35mvY5S1H3J2QZyna3TFe0,78
Tory Lanez,The Color Violet,Alone At Prom,2021,3azJifCSqg9fRij2yKIbWz,83
Eyedress,Jealous,Jealous,2019,1aXV8GrmQLvgoFtBPERP7E,81
The Neighbourhood,You Get Me So High,Hard To Imagine The Neighbourhood Ever Changing,2018,7zwn1eykZtZ5LODrf7c0tS,81
Doja Cat,Candy,Amala,2018,1VJwtWR6z7SpZRwipI12be,79
Eyedress,Something About You,Mulholland Drive,2021,6RiiSy9GzSwiyDEJDiMuKe,81
Reik,Amigos Con Derechos,Ahora,2019,4yVO0wOhXsZC1RuPgHP524,70
Katy Perry,Cozy Little Christmas,Cozy Little Christmas,2018,02FaKXXL7KUtRc7K0k54tL,78
Halsey,Without Me,Manic,2020,6FZDfxM3a3UCqtzo5pxSLZ,78
Becky G,Cuando Te Besé,MALA SANTA,2019,74wEiOpnvCe1tCTWKGSYta,68
Tom Walker,Leave a Light On,What a Time To Be Alive,2019,4iVVU8DyQvOVsKafv3KWIF,73
Mariah Carey,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Oh Santa! (feat. Ariana Grande & Jennifer Hudson),2020,1Ri9P0ZPrqr6h0REDRdJBd,74
Tate McRae,she's all i wanna be,i used to think i could fly,2022,7l9IqDtVWJurTvkQHq1BGh,78
Drake,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",2022,3F5CgOj3wFlRv51JsHbxhe,79
Two Feet,I Feel Like I'm Drowning,A 20 Something Fuck,2018,3aauaXWRgwCMoykMbI0Jq1,76
Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Toast to Our Differences (Deluxe Edition),2019,20ZP3Om9DvDazXrNUC7WM2,72
Jul,Sous la lune,Rien 100 Rien,2019,6hKkzk8UlVUj9ioPCyeH1O,74
Duncan Laurence,Arcade,Small Town Boy (Track By Track),2020,1J14CdDAvBTE1AJYUOwl6C,74
Suki Waterhouse,Good Looking,Good Looking,2022,0j3mqDTK4Z6lvrLzFCUUz6,81
beabadoobee,the perfect pair,Beatopia,2022,41P6Tnd8KIHqON0QIydx6a,83
Ariana Grande,Stuck with U (with Justin Bieber),Stuck with U,2020,4HBZA5flZLE435QTztThqH,78
Hotel Ugly,Shut up My Moms Calling (Sped up),Shut up My Moms Calling (Sped up),2022,31mzt4ZV8C0f52pIz1NSwd,76
